MSV,classCode,subjectCode
18000567,MAT3535 CLCMTKHTT,MAT3535 CLCMTKHTT
18000590,BIO3098,BIO3098
18000595,BIO2045E 3CLCCNS,BIO2045E CLCCNS
18000595,BIO3182 5CLCCNS,BIO3182 CLCCNS
18000595,CHE1081 8,CHE1081
18000613,PHY2304 6,PHY2304
18000613,PHY3508 4TNL,PHY3508 TNL
18000613,PHY3606 2TNL,PHY3606 TNL
18000621,MAT2303 4,MAT2303
18000621,MAT2306 1,MAT2306
18000621,MAT3539 2,MAT3539
18000621,MAT4073,MAT4073
18000665,CHE2114,CHE2114
18000665,CHE3300 1,CHE3300
18000665,MAT1090 1,MAT1090
18000665,MAT1092 3,MAT1092
18000665,PHI1002 12,PHI1002
18000697,MAT3525,MAT3525
18000701,MAT2406,MAT2406
18000701,MAT3525,MAT3525
18000701,MAT3533,MAT3533
18000702,CHE1065,CHE1065
18000733,MAT2407 2,MAT2407
18000733,MAT3373,MAT3373
18000733,MAT3533,MAT3533
18000733,MAT3539 1,MAT3539
18000757,BIO2045 2,BIO2045
18000757,BIO3099,BIO3099
18000762,CHE2018,CHE2018
18000767,CHE1081 8,CHE1081
18000842,PHY2304 6,PHY2304
18000888,PHY1108 5,PHY1108
18000899,BIO2203 1,BIO2203
18000899,PHY1100 12,PHY1100
18000908,BIO3301 2CLCCNS,BIO3301 CLCCNS
18000908,BIO3330 CLCCNS,BIO3330 CLCCNS
18000929,CHE1079 2TNH,CHE1079 TNH
18000951,CHE3045,CHE3045
18000951,CHE3300 1,CHE3300
18000956,CHE1080 1,CHE1080
18000956,PHY1108 1,PHY1108
18000956,PHY2304 3,PHY2304
18000957,BIO2201 1,BIO2201
18000957,BIO2202 1,BIO2202
18000957,BIO3252 3,BIO3252
18000957,CHE1080 2,CHE1080
18000972,PHY2306,PHY2306
18000973,PHY2306,PHY2306
18001015,EVS3232,EVS3232
18001018,CHE1048,CHE1048
18001018,CHE1067 3,CHE1067
18001059,MAT2318 1,MAT2318
18001071,BIO2800 1CLCCNS,BIO2800 CLCCNS
